Incidence Rate Report for Illinois by County,,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Cancer Sites (All Stages^), 2018-2022",,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,,,,
,,,,,,,,,,,,,
Sorted by Rate,,,,,,,,,,,,,
,,,,,,,,,,,,,
County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Illinois(7),17000,N/A,464.2,462.6,465.7,N/A , N/A , N/A,72068,falling,-0.4,-0.5,-0.2
US (SEER+NPCR)(1),0,N/A,448.6,448.3,448.9,N/A , N/A , N/A,1821045,falling,-1,-1.6,-0.5
Alexander County(7),17003,Urban,603.7,525.9,691.2,1,1,61,52,stable,0.2,-1.8,1.9
Clay County(7),17025,Rural,587,536.9,640.8,2,1,35,111,stable,0.9,0,1.9
Pulaski County(7),17153,Rural,579.7,501,668.4,3,1,85,45,rising,1.5,0.5,2.6
Menard County(7),17129,Urban,579.6,528.1,635.2,4,1,49,102,stable,0.7,0,1.5
Greene County(7),17061,Rural,577.3,525.4,633.4,5,1,44,99,rising,2.6,1,7.3
DeKalb County(7),17037,Urban,568.1,547.1,589.6,6,1,21,581,rising,0.9,0.6,1.3
Mason County(7),17125,Rural,564.9,517,616.5,7,1,54,113,stable,-0.1,-0.9,0.6
Pike County(7),17149,Rural,563.9,517.7,613.5,9,1,53,121,stable,1.8,-0.2,5.9
Morgan County(7),17137,Rural,562.5,531.5,595.1,8,1,33,266,rising,0.8,0.3,1.4
Macon County(7),17115,Urban,558.2,540.3,576.5,10,1,24,813,stable,0,-0.3,0.2
Christian County(7),17021,Rural,555.7,525.4,587.4,11,1,38,268,stable,0.1,-0.2,0.5
Marion County(7),17121,Rural,553.3,524,584,12,1,38,289,stable,0.1,-0.3,0.6
Sangamon County(7),17167,Urban,552.9,539.8,566.4,13,4,24,1441,stable,0.3,0,0.7
Vermilion County(7),17183,Rural,546.5,525.6,568.1,15,3,34,560,stable,0.2,-0.4,0.9
Shelby County(7),17173,Rural,546.4,508.7,586.5,14,1,57,177,rising,1,0.1,2
Logan County(7),17107,Rural,543.3,509.7,578.8,16,1,54,206,stable,0.5,-0.2,1.1
Brown County(7),17009,Rural,542.3,468.8,624.6,18,1,96,40,stable,1.3,-0.4,3.2
Jasper County(7),17079,Rural,542.2,484.7,605.3,17,1,87,72,stable,0.3,-1.1,1.8
Macoupin County(7),17117,Urban,538.8,512.9,565.8,19,3,45,356,stable,0.3,-0.2,0.8
Fulton County(7),17057,Rural,537.7,508,568.8,20,2,51,263,stable,0.3,-0.4,1.1
Jackson County(7),17077,Rural,531.4,504.6,559.3,21,4,51,320,rising,2.9,0.5,8.1
Franklin County(7),17055,Rural,529.2,501,558.7,22,4,58,286,stable,0,-0.6,0.7
Grundy County(7),17063,Urban,527.7,501.4,555,23,5,56,315,stable,-0.1,-0.6,0.5
Mercer County(7),17131,Urban,517.6,474.3,564.3,24,2,86,117,stable,0.5,-0.4,1.4
Adams County(7),17001,Rural,515.7,494.1,538.1,26,12,59,469,stable,0.3,-0.2,0.8
Jersey County(7),17083,Urban,515.2,478.2,554.6,25,5,80,157,stable,0.4,-0.4,1.4
Bond County(7),17005,Urban,511.6,468.8,557.6,27,3,86,113,stable,-0.4,-1.1,0.3
Madison County(7),17119,Urban,509.7,498.7,520.8,28,20,50,1760,stable,0,-0.3,0.4
Montgomery County(7),17135,Rural,508.7,476.7,542.4,29,8,78,206,stable,-0.2,-0.9,0.5
Peoria County(7),17143,Urban,507.9,494.5,521.5,31,20,57,1163,stable,-0.3,-0.6,0
Clinton County(7),17027,Urban,506.9,478,537.1,32,9,77,246,stable,0.4,-0.2,1
Scott County(7),17171,Rural,506.4,431.5,591.9,30,1,101,36,falling,-15.4,-23.9,-6.7
Washington County(7),17189,Rural,505.2,459.6,554.5,34,4,93,100,stable,0,-1,1.1
Tazewell County(7),17179,Urban,505,490,520.5,33,19,59,906,stable,-0.3,-0.6,0.1
Moultrie County(7),17139,Rural,503.7,458,552.9,37,3,94,96,stable,0.2,-0.8,1.2
La Salle County(7),17099,Rural,503.5,487,520.6,35,19,64,761,falling,-0.7,-2.7,-0.3
Bureau County(7),17011,Rural,503.2,473.9,533.9,36,11,79,250,stable,0,-0.7,0.7
Cass County(7),17017,Rural,502.5,454.5,554.4,39,4,94,85,stable,0.4,-0.7,1.6
Perry County(7),17145,Rural,501.8,464.6,541.4,38,7,88,144,stable,0.3,-0.5,1.2
Iroquois County(7),17075,Rural,500.1,468,534.1,40,12,86,202,stable,0.4,-0.2,1.1
Kankakee County(7),17091,Urban,499.6,482.4,517.2,41,22,69,680,stable,-0.4,-0.8,0
Williamson County(7),17199,Rural,499.1,478.2,520.8,42,19,73,456,stable,0.1,-0.4,0.5
Marshall County(7),17123,Urban,496.7,448.4,549.4,43,4,98,90,stable,0.1,-0.8,1
Calhoun County(7),17013,Urban,496.5,425.3,578.4,44,1,101,38,stable,-0.2,-1.4,1.1
McHenry County(7),17111,Urban,495.8,485.5,506.4,45,27,62,1871,rising,1.6,1.1,2.4
Woodford County(7),17203,Urban,495.2,467.1,524.6,46,16,84,251,stable,0,-0.5,0.7
Jefferson County(7),17081,Rural,493.6,465.8,522.7,47,16,84,253,stable,0.1,-0.5,0.6
Union County(7),17181,Rural,493.3,454,535.5,48,11,93,128,stable,0.6,-0.1,1.4
St. Clair County(7),17163,Urban,492.1,480.9,503.5,49,30,67,1571,stable,-0.4,-0.7,0
Ford County(7),17053,Urban,491.9,445.3,542.2,50,4,98,89,stable,-0.2,-1.1,0.8
Ogle County(7),17141,Rural,490.7,467,515.3,51,21,84,349,rising,1.2,0.4,3.4
